"YEAR","MONTH","LCR"
2005,11,0.0352311939268461
2005,12,0.046583850931677
2006,1,0.0571027850130234
2006,2,0.0819590204897551
2006,3,0.0828491284311761
2006,4,0.0776027802425318
2006,5,0.0625459159821011
2006,6,0.0511732229123533
2006,7,0.0511128364389234
2006,8,0.0588336783988958
2006,9,0.0586388833233153
2006,10,0.0685567354571562
2006,11,0.0521394064872325
2006,12,0.0380685233420156
2007,1,0.0110532291457958
2007,2,0.031984007996002
2007,3,0.0628130635143258
2007,4,0.0533126293995859
2007,5,0.0524610966406198
2007,6,0.0429951690821256
2007,7,0.0506922877846791
2007,8,0.0522429261559696
2007,9,0.0606424898150003
2007,10,0.0532291457957657
2007,11,0.057591442374051
2007,12,0.0514592933947772
2008,1,0.0613437520870901
2008,2,0.0729468599033816
2008,3,0.0875242102451078
2008,4,0.0571499964303562
2008,5,0.0332264743204435
2008,6,0.0242581090407177
2008,7,0.0490100931677018
2008,8,0.0443754313319531
2008,9,0.0491885393708675
2008,10,0.0595071128030455
2008,11,0.0571428571428571
2008,12,0.0459159821011153
2009,1,0.0574534161490683
2009,2,0.0751410009281073
2009,3,0.0531957523542376
2009,4,0.0683599526767228
2009,5,0.0458491952180592
2009,6,0.0505866114561767
2009,7,0.0739842132505176
2009,8,0.094271911663216
2009,9,0.0764041942162559
2009,10,0.0686903092232685
2009,11,0.0654934437543133
2009,12,0.0721298337006611
2010,1,0.0406732117812062
2010,2,0.0527593346184051
2010,3,0.070460161624257
2010,4,0.0603741496598639
2010,5,0.0559340145595405
2010,6,0.058040027605245
2010,7,0.0608178053830228
2010,8,0.0696687370600414
2010,9,0.060508916048888
2010,10,0.0735323582448407
2010,11,0.0564872325741891
2010,12,0.0540639818339678
2011,1,0.0366993922393642
2011,2,0.0233097736845863
2011,3,0.0486208508648901
2011,4,0.0710958296362023
2011,5,0.0686569157817404
2011,6,0.0630089717046239
2011,7,0.072949016563147
2011,8,0.0737060041407867
2011,9,0.069291391170774
2011,10,0.0872236692713551
2011,11,0.0808488612836439
2011,12,0.0665865224069992
2012,1,0.0695251452614706
2012,2,0.0575569358178054
2012,3,0.0577706538435851
2012,4,0.0807453416149068
2012,5,0.0710612435717625
2012,6,0.0679434092477571
2012,7,0.0664466873706004
2012,8,0.0641131815044858
2012,9,0.0755693581780538
2012,10,0.101849996660656
2012,11,0.0814009661835748
2012,12,0.0882588659587257
2013,1,0.0688060731538992
2013,2,0.0502248875562219
2013,3,0.0470179656715421
2013,4,0.0599304939367051
2013,5,0.0747011286983236
2013,6,0.0605244996549344
2013,7,0.0750194099378882
2013,8,0.0688405797101449
2013,9,0.0682895879249315
2013,10,0.0681894076003473
2013,11,0.0668391994478951
2013,12,0.076838308956121
2014,1,0.0733653910372003
2014,2,0.0414792603698151
2014,3,0.0633473585787751
2014,4,0.0787488908606921
2014,5,0.0484538836572497
2014,6,0.070703933747412
2014,7,0.0807776915113871
2014,8,0.0860248447204968
2014,9,0.0561677686502371
2014,10,0.0819141120683897
2014,11,0.0596618357487922
2014,12,0.071261604220931
